12.796,0.4256,0.5744
13.07,0.4269,0.5731
13.343,0.4293,0.5707
13.617,0.4305,0.5695
13.91,0.433,0.567
14.183,0.4342,0.5658
14.457,0.4274,0.5726
14.73,0.3939,0.6061
15.023,0.3221,0.6779
15.297,0.2542,0.7458
15.57,0.1993,0.8007
15.863,0.1504,0.8496
16.117,0.1084,0.8916
16.41,0.0713,0.9287
16.684,0.0393,0.9607
16.957,0.0183,0.9817
17.231,0.009,0.991
17.524,0.0073,0.9927
17.797,0.01,0.99
18.071,0.0181,0.9819
18.364,0.0315,0.9685
18.637,0.0496,0.9504
18.911,0.0833,0.9167
19.184,0.1431,0.8569
19.458,0.2134,0.7866
19.751,0.2845,0.7155
20.024,0.3514,0.6486
20.298,0.4081,0.5919
20.571,0.4628,0.5372
20.864,0.5197,0.4803
21.138,0.5739,0.4261
21.411,0.6305,0.3695
21.705,0.6862,0.3138
21.958,0.7353,0.2647
22.252,0.7834,0.2166
22.545,0.831,0.169
22.799,0.8735,0.1265
23.092,0.9153,0.0847
23.365,0.9556,0.0444
23.639,0.9885,0.0115
23.912,0.9998,0.0002
24.205,1,0
24.479,1,0
24.752,1,0
25.045,1,0
25.299,1,0
25.592,1,0
25.866,1,0
26.139,1,0
26.413,1,0
26.706,1,0
26.979,1,0
27.253,1,0
27.526,1,0
27.8,1,0
28.093,1,0
28.366,1,0
28.64,1,0
28.913,1,0
29.206,1,0
29.48,1,0
29.753,1,0
30.027,1,0
30.3,1,0
30.574,1,0
30.867,1,0
31.14,1,0
31.414,1,0
31.687,1,0
31.961,1,0
32.254,1,0
32.527,1,0
32.801,1,0
33.074,0.9773,0.0227
33.368,0.9197,0.0803
33.641,0.873,0.127
33.915,0.8281,0.1719
34.208,0.7795,0.2205
34.462,0.7297,0.2703
34.735,0.6847,0.3153
35.028,0.6523,0.3477
35.302,0.6349,0.3651
35.575,0.6322,0.3678
35.868,0.6554,0.3446
36.122,0.6974,0.3026
36.396,0.7477,0.2523
36.689,0.801,0.199
36.962,0.8498,0.1502
37.236,0.9031,0.0969
37.529,0.9675,0.0325
37.783,0.9995,0.0005
